City,State,CBSA code,percent change GDP,natural resources/mining,construction,durable-goods manufacturing,nondurable-goods manufacturing,trade,transportation/utilities,information,finance/insurance/real estate/rental/leasing,professional/business services,education/health care/social assistance,arts/entertainment/recreation/accommodation/food services,other services except government,government,,*NOTE: (D) is hidden to protect confidential information
Charlottesville,VA,16820,-0.7,(D),-0.28,(D),0.21,(D),-0.01,-0.01,-0.03,-0.07,0.05,-0.04,-0.05,0.16,,
Chattanooga,TN-GA,16860,-0.9,(D),-0.09,(D),(D),(D),0.24,0.03,-2.5,1.39,-0.01,(D),-0.04,-0.26,,
Cheyenne,WY,16940,2.7,(D),0.59,0.01,1.36,-0.5,-0.04,0.07,0.23,-0.02,-0.34,(D),0.2,-0.57,,
Chicago-Naperville-Elgin,IL-IN-WI,16980,1.3,0,-0.02,(D),(D),(D),0.04,0.01,0.2,0.3,0.12,0.04,-0.01,-0.06,,
Chico,CA,17020,4,(D),0.59,-0.14,0.37,0.01,0.24,0.32,0.61,0.21,(D),0.11,-0.29,-0.06,,
Cincinnati,OH-KY-IN,17140,2.1,0,(D),0.51,0.38,(D),-0.05,(D),1.13,(D),0.28,(D),(D),-0.12,,
Clarksville,TN-KY,17300,-2.7,(D),0.06,-1.5,0.26,0.05,(D),(D),-0.38,0.03,0.12,0.11,-0.21,-1.91,,
Cleveland,TN,17420,0,0.03,-0.4,-0.27,0.7,-0.03,-0.1,(D),-0.23,-0.02,0.16,0.09,(D),-0.09,,
Cleveland-Elyria,OH,17460,0.5,-0.06,0.05,-0.06,0.11,0.01,-0.01,0.02,0.27,0.01,0.29,0.09,-0.04,-0.15,,
Coeurd'Alene,ID,17660,3.4,0.88,0.16,0.27,0.21,0.63,0.15,0.06,-0.37,-0.01,1.05,0.23,-0.01,0.11,,
College Station-Bryan,TX,17780,3,-0.2,0.21,(D),(D),0.49,(D),-0.1,0.77,0.77,0.08,0.77,0.03,0.19,,
Colorado Springs,CO,17820,-0.2,(D),0.09,(D),0.08,0.28,-0.83,-0.27,0.66,0.69,0.2,0.09,-0.01,-0.19,,
Columbia,MO,17860,1.6,-0.02,0.13,-0.19,0.13,0.34,-0.02,0.24,0.73,0.32,0.1,0.07,-0.15,-0.09,,
Columbia,SC,17900,2,0.11,0.1,(D),(D),(D),0.49,0.16,(D),-0.2,-0.37,0.02,-0.06,0.06,,
Columbus,GA-AL,17980,-0.5,(D),0.07,(D),-0.24,(D),-0.16,(D),1.36,0.04,0.04,0,(D),-1.62,,
Columbus,IN,18020,-1.3,0.18,-0.08,-1.3,-0.31,0.55,-0.03,-0.02,-0.04,-0.4,0.17,0.02,0.04,-0.1,,
Columbus,OH,18140,3.3,(D),0.07,(D),(D),0.2,(D),0.32,1.7,0.27,0.25,0.1,-0.03,-0.17,,
Corpus Christi,TX,18580,6.3,-0.64,0.15,0.07,5.51,0.28,0.32,0.04,0.36,0.19,0.04,0.22,-0.06,-0.14,,
Corvallis,OR,18700,-0.3,0.21,-0.08,-0.11,-0.02,0.1,-0.17,-0.16,-0.15,-0.22,0.25,-0.05,0.1,0.03,,
Crestview-Fort Walton Beach-Destin,FL,18880,-0.8,-0.15,-0.3,(D),(D),0.01,0.05,-0.08,-0.48,0.35,0.5,0.22,-0.01,-1.16,,
Cumberland,MD-WV,19060,-1.2,0.08,-0.06,(D),(D),(D),(D),(D),(D),-0.2,0.01,0.6,-0.19,0.09,,
Dallas-Fort Worth-Arlington,TX,19100,2.1,-0.14,0.16,(D),(D),0.54,-0.09,0.18,(D),0.17,0.19,0.06,0.02,0,,
Dalton,GA,19140,1,(D),0.09,0.04,0.52,0.19,0.32,-0.04,0.32,-0.41,0.04,(D),-0.09,-0.17,,
Danville,IL,19180,-1,-0.23,-0.14,-0.93,-0.54,0.47,0.2,0,0.87,0.01,-0.31,-0.02,-0.21,-0.17,,
Daphne-Fairhope-Foley,AL,19300,4.1,-0.01,0.52,-0.45,0.03,0.44,0.67,-0.08,2.03,0,0.51,0.34,0.12,-0.08,,
Davenport-Moline-Rock Island,IA-IL,19340,1,0.17,-0.1,(D),(D),0.07,0.06,0.01,0.15,0.02,0.15,-0.09,-0.04,-0.12,,
Dayton,OH,19380,-0.9,(D),0.01,-0.31,-0.06,0.08,(D),-0.2,0.25,-0.37,0.14,-0.03,-0.05,-0.46,,
Decatur,AL,19460,0.6,0.73,-0.54,(D),(D),0.03,0.07,-0.01,-0.54,0.18,0,-0.01,-0.11,-0.1,,
Decatur,IL,19500,-1.5,0.44,-0.69,-2.45,2.55,-0.2,0.58,-0.06,-0.77,-0.48,-0.28,0.05,-0.2,-0.03,,
Deltona-Daytona Beach-Ormond Beach,FL,19660,0.7,0.24,0.43,0.59,0.07,0.08,0.02,-0.22,-0.22,-0.09,0.22,0.06,-0.34,-0.09,,
Denver-Aurora-Lakewood,CO,19740,4.3,2.1,0.25,0,0.17,(D),(D),0.21,0.8,-0.04,0.16,0.11,-0.02,0.19,,
Des Moines-West Des Moines,IA,19780,2.4,0.2,0.24,(D),(D),0.36,-0.16,(D),0.94,0.43,0.26,0.05,(D),0.03,,
Detroit-Warren-Dearborn,MI,19820,1.3,0,-0.07,0.39,0.14,0.12,0.18,0.12,0.32,0.23,0.13,0.02,0,-0.26,,
Dothan,AL,20020,1.7,0.2,-0.19,(D),(D),0.37,0.51,(D),1.23,-0.21,0.11,-0.04,(D),-0.11,,
Dover,DE,20100,1.2,(D),0.63,-0.63,(D),0.04,(D),0.01,0.63,0.3,0.52,-0.13,0.01,-0.29,,
Dubuque,IA,20220,-1.2,0.63,-0.52,-0.15,0.11,-0.09,0.16,-0.74,-0.21,-0.6,0.19,0,0.02,0.03,,
Duluth,MN-WI,20260,3.3,0.66,0.5,(D),(D),0.06,0,0.11,0.85,0.18,0.85,-0.01,0.29,-0.04,,
Durham-Chapel Hill,NC,20500,0.3,0.08,-0.04,-2.22,1,0.58,0.02,0.16,0.47,-0.38,0.6,0.08,0.01,-0.02,,
EastStroudsburg,PA,20700,-2.1,-0.07,-0.19,(D),(D),-0.04,-0.06,-0.32,-0.8,-0.08,-0.18,0.11,-0.08,-0.1,,
Eau Claire,WI,20740,0.3,0.85,-0.18,-0.47,0,0.42,0.17,0.04,-0.91,0.25,0.19,-0.02,0.12,-0.16,,
El Centro,CA,20940,1.9,1.68,0.4,(D),(D),0.51,0.25,0.12,0.43,-0.24,0.45,0.06,-1.01,-0.33,,
Elizabethtown-Fort Knox,KY,21060,0.4,(D),-0.15,0.24,0.57,-0.07,(D),0.46,0.39,0.03,-0.07,-0.06,-0.19,-1.49,,
Elkhart-Goshen,IN,21140,3.2,0.02,-0.52,1.84,-0.1,0.5,0.19,0,-0.26,1.41,0.21,0.04,-0.08,-0.07,,
Elmira,NY,21300,-2.7,-0.31,-0.21,-1.34,0.01,-0.13,-0.27,0.12,-0.08,-0.33,0.17,-0.26,0.07,-0.2,,
El Paso,TX,21340,0.5,0.15,-0.32,0.03,1.19,0.51,0.02,0.03,(D),-0.08,0.09,-0.01,-0.01,-0.58,,
Erie,PA,21500,0.2,0.25,-0.16,-0.7,0.01,-0.11,0.2,-0.16,1.02,-0.17,-0.08,0.03,0.02,0.04,,
Eugene,OR,21660,2.3,0.22,-0.14,0.69,0.23,0.53,0.12,0.23,0.07,0.05,0.17,0.13,-0.05,0.02,,
Evansville,IN-KY,21780,-1.4,(D),-0.41,(D),(D),(D),0.04,-0.1,0.25,0.03,0.25,-0.06,-0.05,-0.09,,
Fairbanks,AK,21820,-3.3,-0.42,-0.61,0.01,1.32,0.03,-2.23,-0.07,-0.29,(D),(D),0.05,-0.1,-1.04,,
Fargo,ND-MN,22020,3.2,-0.09,0.2,-0.13,0.07,0.78,0.04,0.01,1.16,0.47,0.32,0.11,0.05,0.21,,
Farmington,NM,22140,0.1,1.38,-0.41,-0.83,0.09,0.64,-0.12,(D),0.48,-0.04,-0.11,(D),-0.77,-0.02,,
Fayetteville,NC,22180,-1.9,-0.01,-0.05,0.09,0.41,0.06,0.05,(D),-0.17,-0.16,-0.15,-0.01,(D),-1.89,,
Fayetteville-Springdale-Rogers,AR-MO,22220,5.6,0.11,-0.07,(D),(D),0.68,0.1,(D),0.73,3.33,0.3,0.11,(D),-0.12,,
Flagstaff,AZ,22380,2.1,0.13,-0.26,(D),(D),0.45,-0.14,0.02,0.85,0.03,0.49,0.34,0.02,-0.31,,
Flint,MI,22420,1.3,0,0.02,-0.77,0.04,0.33,0.14,1.18,0.63,-0.26,0.29,0.24,-0.12,-0.4,,
Florence,SC,22500,3.2,0.05,0.18,(D),(D),0.25,0.92,-0.01,1.19,0.12,-0.5,0.04,0.47,0.18,,
Florence-Muscle Shoals,AL,22520,3.9,1.31,-0.03,2.07,0.32,0.17,-0.16,0.02,0.6,-0.28,0.13,0.01,-0.05,-0.26,,
Fond du Lac,WI,22540,2.4,1.39,0.1,0.35,0.6,0.42,-0.03,0.18,-0.9,0.04,0.3,0.01,0.07,-0.13,,
Fort Collins,CO,22660,2.9,0.19,0.14,0.46,0.25,0.42,0.19,-0.3,1.19,0.93,-1.18,0.15,0.07,0.36,,
Fort Smith,AR-OK,22900,1.8,(D),-0.23,(D),(D),0.1,0.15,0.17,0.07,(D),0.04,0.01,-0.07,-0.03,,
Fort Wayne,IN,23060,0.7,0,-0.18,0.66,0.33,0.12,(D),(D),0.89,-0.24,0.26,0.06,-0.06,-0.13,,
Fresno,CA,23420,3.4,2,0.1,-0.05,-0.17,0.3,0.27,0.37,0.15,0.18,0.59,0.01,-0.21,-0.14,,
Gadsden,AL,23460,-3.1,-0.11,-0.14,-0.38,-0.56,0.25,-0.07,0.01,-1.96,0.24,-0.2,-0.02,-0.06,-0.13,,
Gainesville,FL,23540,0.7,0.35,0.02,(D),(D),0.7,0.09,(D),-0.53,(D),0.16,0.06,0.01,-0.27,,
Gainesville,GA,23580,3.8,0.03,0.15,0.57,1.25,0.69,0.1,0.09,-0.11,0.24,0.41,0.78,-0.19,-0.19,,
Gettysburg,PA,23900,2.2,0.35,-0.15,0.12,-0.08,-0.25,0.24,0.21,0.56,0.59,0.39,0.32,-0.13,-0.01,,
Glens Falls,NY,24020,-3.1,0.17,-0.08,-1.95,-0.41,0.14,0.18,0.1,-0.13,-0.44,-0.5,0.07,-0.09,-0.2,,
Goldsboro,NC,24140,-0.3,-0.65,-1.83,-0.19,2.09,0.39,0.05,-0.08,0.28,-0.06,0.37,0,-0.06,-0.56,,
Grand Forks,ND-MN,24220,2.6,1.64,-0.11,0.04,0.03,0.24,0.1,-0.02,-0.18,0,0.5,-0.04,-0.01,0.46,,
Grand Island,NE,24260,3.4,2.06,0.3,(D),(D),0.39,0.29,(D),0.16,0.43,0.15,0.01,(D),0.04,,
Grand Junction,CO,24300,-0.9,-1.23,-0.01,0.04,-0.01,0.18,-0.37,-0.07,0.39,-0.23,0.27,0.09,-0.18,0.27,,
Grand Rapids-Wyoming,MI,24340,3.9,0.33,0.22,(D),(D),0.4,-0.13,0.14,1.02,0.06,0.42,0.13,0.02,-0.24,,
Grants Pass,OR,24420,-0.1,0.06,0.05,-0.56,0.25,0.11,-0.36,-0.1,0.55,-0.15,-0.11,0.05,0.15,0,,
Great Falls,MT,24500,-1.2,0.52,-0.63,0.1,0.44,-0.05,-0.21,0.11,-0.39,-0.59,0.2,0.05,-0.01,-0.76,,
Greeley,CO,24540,10.1,(D),1.33,-0.45,0.45,0.87,(D),-0.1,0.93,0.82,-0.27,0.1,0.14,0.27,,
Green Bay,WI,24580,2.1,0.55,0.15,0.02,-0.02,(D),0.91,(D),0.21,-0.11,-0.03,0.24,(D),-0.12,,
Greensboro-High Point,NC,24660,1.6,0.01,0.09,0.24,0.27,0.46,-0.13,-0.15,0.58,0,0.22,-0.02,0.01,-0.02,,
Greenville,NC,24780,-0.8,0.2,-0.11,-1.57,-0.65,0.14,-0.04,-0.17,0.71,0.69,0.17,0.02,-0.25,0.06,,
