City,State,CBSA code,percent change GDP,natural resources/mining,construction,durable-goods manufacturing,nondurable-goods manufacturing,trade,transportation/utilities,information,finance/insurance/real estate/rental/leasing,professional/business services,education/health care/social assistance,arts/entertainment/recreation/accommodation/food services,other services except government,government,,*NOTE: (D) is hidden to protect confidential information
LakeHavasu City-Kingman,AZ,29420,-0.7,(D),0.9,-0.25,0.21,0.25,-0.19,-0.09,-1.78,(D),0.05,0.47,-0.05,-0.11,,
Lakeland-WinterHaven,FL,29460,3.3,0.04,0.25,0.33,0.45,0.92,0.17,-0.06,1.07,0.25,0.16,-0.15,-0.04,-0.06,,
Lancaster,PA,29540,1.8,0.41,-0.05,-0.17,0.06,-0.31,0.12,0.12,1.02,0.29,0.24,0.02,0.01,0.03,,
Lansing-East Lansing,MI,29620,2.4,0.3,0.11,1.05,0.2,0.12,0.18,0.27,0.55,0.15,0.1,-0.04,-0.06,-0.57,,
Laredo,TX,29700,3.3,2.27,0.08,-0.05,-0.04,0.65,-0.39,0.08,0.37,0.03,0.15,0.14,0.07,-0.06,,
Las Cruces,NM,29740,0.8,0.31,-0.15,-0.06,-0.03,0.59,-0.45,0.05,-0.03,0.52,-0.01,0.03,0.04,0.02,,
Las Vegas-Henderson-Paradise,NV,29820,2.4,-0.03,0.21,0.07,-0.02,0.24,0.07,0.05,1.07,0.48,0.21,0.2,-0.02,-0.11,,
Lawrence,KS,29940,0.4,0,-0.43,0.24,1.01,(D),(D),0.11,-0.41,0.05,-0.16,-0.13,-0.07,-0.07,,
Lawton,OK,30020,1.7,(D),-0.22,0,0.35,0.45,0.2,-0.02,1.59,0.31,0.01,0.03,-0.07,-0.86,,
Lebanon,PA,30140,-1.4,0.75,-0.1,0.15,-0.75,(D),(D),0.13,0.37,0.02,-0.02,0.06,0.05,-0.09,,
Lewiston,ID-WA,30300,1.6,(D),0.17,(D),(D),0.15,-0.08,0.08,0.48,(D),0.79,-0.02,-0.54,0.09,,
Lewiston-Auburn,ME,30340,0.1,0.08,0.52,-0.25,-0.72,-0.12,0.51,-0.12,0.66,-0.39,-0.1,0.13,-0.02,-0.1,,
Lexington-Fayette,KY,30460,2.4,0.29,0.05,(D),(D),-0.02,(D),-0.02,0.77,0.63,0.07,0.01,-0.01,-0.08,,
Lima,OH,30620,7.9,0.22,0,-0.33,8.51,-0.54,0.09,-0.07,0.11,0.2,-0.35,0.08,0.02,-0.1,,
Lincoln,NE,30700,2.6,0.01,0.1,0.09,0.06,0.28,0.22,0.45,0.53,0.36,0.21,0.17,0.03,0.08,,
Little Rock-North Little Rock-Conway,AR,30780,0.7,0.64,-0.17,(D),(D),0.15,0.18,(D),-0.22,-0.11,0.01,0.04,-0.07,-0.28,,
Logan,UT-ID,30860,4.8,0.8,0.2,-0.19,0.84,0.05,-0.06,0.23,1.14,0.53,1.08,0.08,-0.16,0.26,,
Longview,TX,30980,-0.1,-1.52,0.23,-0.04,0.14,0.86,0.01,0.44,0.09,0.15,-0.36,0,-0.09,0.02,,
Longview,WA,31020,2.5,0.62,-0.93,0.18,1.52,0.28,-0.01,-0.01,0.7,0.32,0.06,-0.09,-0.2,0.01,,
Los Angeles-Long,CA,31100,1.2,-0.46,0.05,-0.02,0.21,0.1,0.06,0.78,0.4,0.07,0.06,0.04,-0.05,-0.05,,
Louisville/Jefferson County,KY-IN,31140,-0.1,(D),-0.03,0.35,0.02,0.32,(D),(D),-0.73,0.03,(D),0.06,(D),-0.08,,
Lubbock,TX,31180,5.1,2.61,(D),(D),0.02,1.1,(D),0.24,0.37,-0.29,(D),0.12,-0.04,0.11,,
Lynchburg,VA,31340,-0.4,(D),-0.11,-0.27,-0.11,-0.01,(D),(D),0.37,(D),-0.07,-0.04,-0.05,0.06,,
Macon,GA,31420,2.6,-0.32,0.13,(D),-0.37,(D),(D),(D),1.19,1.2,0.33,(D),-0.11,-0.27,,
Madera,CA,31460,8,5.12,0.41,-0.28,0.91,0.28,0.6,0.19,0.82,0.15,0.14,0.04,-0.29,-0.05,,
Madison,WI,31540,3.3,0.38,0.36,(D),(D),0.17,0.09,0.61,0.04,0.47,1.12,0.06,-0.05,-0.19,,
Manchester-Nashua,NH,31700,0.8,-0.03,0.17,-0.07,-0.01,0.13,-0.06,-0.05,0.23,0.23,0.25,0.09,0.07,-0.18,,
Manhattan,KS,31740,-1.5,-0.05,-1.59,-0.55,0.08,0.45,-0.02,0.07,-0.03,0.36,-0.03,-0.06,-0.02,-0.1,,
Mankato-North Mankato,MN,31860,0.8,1.32,0.12,0.03,0.49,(D),(D),-0.04,0.14,0.13,0.37,0.08,0.09,0,,
Mansfield,OH,31900,0.3,0,-0.43,0.49,0.37,0.26,-0.16,-0.09,0.26,0.19,-0.26,-0.07,-0.09,-0.21,,
McAllen-Edinburg-Mission,TX,32580,3,0.37,0.07,0.13,0.11,1.03,0.22,0.05,0.31,0.15,0.42,0.09,-0.05,0.07,,
Medford,OR,32780,3.8,0.34,0.39,0.7,0.23,0.41,0.06,-0.33,0.68,0.34,0.74,0.17,0.11,-0.05,,
Memphis,TN-MS-AR,32820,-0.1,0.07,-0.11,-0.17,0.34,(D),(D),(D),-0.44,0.14,0.22,(D),(D),-0.17,,
Merced,CA,32900,4.5,4.59,-0.08,0.36,0.71,-0.13,-0.29,0.04,-0.32,-0.22,0.35,0.06,-0.48,-0.08,,
Miami-Fort Lauderdale-West Palm Beach,FL,33100,2.4,0.09,0.11,0.01,0.05,0.38,0.25,0.2,0.74,0.17,0.27,0.19,0.06,-0.1,,
Michigan City-La Porte,IN,33140,2.4,0.36,-0.18,-0.31,1.38,0.33,0.14,-0.02,0.45,-0.09,0.42,0.06,-0.03,-0.16,,
Midland,MI,33220,0,0.62,0.01,-0.5,0.97,0.08,-1.71,-0.22,0.32,-0.01,0.63,0.04,0.04,-0.29,,
Midland,TX,33260,6.5,2.9,(D),0.11,1.46,0.71,0.63,-0.03,0.44,0.11,0.01,0.09,0.04,0.01,,
Milwaukee-Waukesha-West Allis,WI,33340,0.5,0.07,0.11,-0.16,0,0.2,-0.04,0.01,0.15,0.19,0.14,0.01,-0.03,-0.12,,
Minneapolis-St. Paul-Bloomington,MN-WI,33460,2.5,(D),0.22,-0.01,0.57,(D),0.09,0.02,0.6,0.32,0.14,0.05,-0.02,-0.02,,
Missoula,MT,33540,-3.6,-0.02,-0.19,0.05,0.09,0.17,-0.33,0.19,-3.5,-0.61,0.47,0.3,-0.03,-0.17,,
Mobile,AL,33660,2.9,1.85,-0.28,1.11,0.39,0.38,0.23,-0.03,-0.7,0.17,-0.08,0,0.03,-0.17,,
Modesto,CA,33700,3.2,2.62,0.21,-0.13,0.25,(D),(D),0.09,-0.13,0.25,0.01,0.04,-0.24,-0.04,,
Monroe,LA,33740,1.7,-0.11,-0.08,0.09,1.28,0.94,-0.13,0.12,-0.41,0.47,(D),0.06,-0.12,-0.42,,
Monroe,MI,33780,5.5,-0.24,-0.33,2.15,0.26,(D),(D),0.04,0.19,1.19,0.38,-0.09,-0.17,-0.29,,
Montgomery,AL,33860,0.3,-0.05,-0.02,(D),(D),0.13,0.06,0.03,0.77,-0.17,0.03,0.03,-0.02,-0.45,,
Morgantown,WV,34060,4.3,1.69,-0.27,(D),(D),0.22,0.01,-0.06,0.58,0.52,0.43,0.04,0.03,-0.1,,
Morristown,TN,34100,-0.2,(D),0.05,-1.27,0.34,-0.15,(D),0.06,0,0.03,-0.15,0.08,0.03,-0.11,,
Mount Vernon-Anacortes ,WA,34580,10.6,0.58,0.03,0.18,8.09,0.39,0.2,-0.04,0.64,0.37,0.07,0.08,-0.02,0.03,,
Muncie,IN,34620,0.8,0.18,-0.23,0.16,0,-0.05,0.76,-0.01,-0.51,0.77,0.04,-0.01,-0.04,-0.25,,
Muskegon,MI,34740,2.5,0.16,-0.14,1.56,0.24,0.14,0.18,0.08,-0.06,0.39,0.27,-0.01,0.05,-0.35,,
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,34820,1.5,0.04,0.24,-0.01,0.04,0.19,0.41,-0.06,0.53,0.28,-0.28,0.07,-0.01,0.09,,
Napa,CA,34900,4.5,(D),0.79,(D),(D),1.06,(D),0.18,0.41,0.45,-0.11,0.56,0.02,-0.03,,
Naples-Immokalee-Marco Island,FL,34940,7,0.76,0.68,0.19,0,0.79,-0.04,0.12,2.33,1.62,0.1,0.24,0.22,-0.05,,
Nashville-Davidson--Murfreesboro--Franklin,TN,34980,1.9,0.02,(D),0.03,0.07,(D),0.25,0.02,1,0.38,0.39,-0.06,-0.09,-0.12,,
New Bern,NC,35100,-0.2,1.65,-0.22,(D),(D),0.26,-0.08,-0.11,(D),0.06,0.28,-0.04,(D),-1.14,,
New Haven-Milford,CT,35300,1.5,0.02,0.06,0.18,-0.03,0.05,0.4,-0.07,0.74,0.16,0.14,-0.01,-0.04,-0.04,,
New Orleans-Metairie,LA,35380,1,-3.21,-0.15,-0.07,4.06,0.48,(D),-0.48,0.43,(D),-0.3,0.04,0.03,-0.37,,
New York-Newark-Jersey City,NY-NJ-PA,35620,1,(D),0.08,0,0.03,(D),-0.03,0.2,0.01,(D),0.2,(D),0,-0.12,,
Niles-Benton Harbor,MI,35660,4.5,0.14,0.14,3.37,0.05,0.14,0.88,-0.03,-0.19,0.17,0.22,0.12,-0.17,-0.31,,
North Port-Sarasota-Bradenton,FL,35840,4.4,0.46,0.36,-0.01,0.12,0.95,0.18,-0.03,1.24,0.56,0.47,0.21,0,-0.06,,
Norwich-New London,CT,35980,-0.3,0.12,-0.15,(D),(D),-0.11,0.12,-0.19,0.37,-0.33,0.14,-0.06,0,-0.27,,
Ocala,FL,36100,2.3,0.05,0.32,0.18,0.03,0.96,-0.02,-1.11,0.48,1.02,0.5,0.07,-0.07,-0.1,,
Ocean City,NJ,36140,0.7,(D),0.3,(D),(D),0.25,0.05,0.01,-0.16,(D),0.11,-0.07,-0.16,-0.29,,
Odessa,TX,36220,5.1,(D),-0.7,-0.36,0.56,2.27,-0.02,-0.13,1.4,0.01,(D),0.14,0.32,0.05,,
Ogden-Clearfield,UT,36260,4.5,0.31,0.15,(D),(D),0.17,0.01,-0.08,1.6,0.57,0.26,0.09,0.07,-0.11,,
Oklahoma City,OK,36420,3.9,(D),0.04,(D),(D),(D),0.16,-0.29,-0.04,0.26,0.07,0.12,0.03,0.03,,
Olympia-Tumwater,WA,36500,2.8,0.14,0.63,0.01,0.05,0.6,0.17,0.02,0.06,0.46,0.42,0.08,0.04,0.09,,
Omaha-Council Bluffs,NE-IA,36540,1.8,0.08,0.3,(D),(D),(D),-0.44,0,0.78,0.79,0.03,-0.05,0,-0.05,,
Orlando-Kissimmee-Sanford,FL,36740,1.9,0.16,0.28,0.06,0.05,0.52,-0.07,0.07,0.32,0.27,0.2,0.1,0.03,-0.08,,
Oshkosh-Neenah,WI,36780,0.1,0.06,1,-2.22,-0.94,0.11,-0.01,-0.1,0.45,2.06,-0.14,0.08,-0.16,-0.15,,
Owensboro,KY,36980,4.7,1.69,0.12,(D),(D),(D),(D),0.01,0.88,0.24,-0.19,-0.13,(D),-0.02,,
Oxnard-Thousand Oaks-Ventura,CA,37100,0.9,-0.91,-0.02,(D),(D),-0.16,0.12,0.27,1.34,0.17,0.04,-0.03,0.15,-0.16,,
Palm Bay-Melbourne-Titusville,FL,37340,0.1,0,0.17,0.01,0.07,0.69,-0.09,-0.09,0.47,-0.99,0.33,-0.08,-0.07,-0.29,,
Panama City,FL,37460,3,0.02,-0.11,(D),(D),0.96,0.07,-0.17,2.33,-0.37,0.77,-0.35,-0.12,-0.54,,
Parkersburg-Vienna,WV,37620,-0.9,(D),-0.6,-0.25,-0.28,0.27,0.23,-0.13,0.18,(D),-0.25,-0.06,(D),-0.27,,
Pensacola-Ferry Pass-Brent,FL,37860,0.1,0.39,-0.45,(D),(D),0.39,0.02,0.07,1.01,-0.37,-0.26,0.24,-0.12,-0.8,,
Peoria,IL,37900,-6.8,-0.03,-0.37,(D),(D),0.09,-0.61,-0.08,0.1,-0.94,0.03,0.05,-0.12,-0.04,,
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,37980,0.4,0.05,0.01,-0.07,-0.24,0.09,(D),0.03,0.3,(D),0.02,0.06,-0.01,-0.04,,
Phoenix-Mesa-Scottsdale,AZ,38060,1.2,0.03,0.06,-0.11,0.08,-0.41,-0.01,0.22,0.51,0.6,0.19,0.11,0.02,-0.09,,
Pine Bluff,AR,38220,-3.3,0.49,-1.66,(D),(D),(D),0.27,(D),-0.13,(D),0.1,(D),(D),-0.39,,
Pittsburgh,PA,38300,1.8,1.56,-0.16,0.06,0.16,-0.13,-0.1,0.02,-0.2,(D),(D),0.06,-0.02,0.01,,
Pittsfield,MA,38340,-1,0.03,-0.06,-0.07,-0.67,0.15,-0.05,-0.18,-0.49,0.04,0.12,0.22,-0.19,0.15,,
Pocatello,ID,38540,-0.1,(D),-0.22,-1.06,-0.18,0.29,-0.15,(D),0.51,0.01,0.38,0.04,-0.09,0.1,,
Portland-South Portland,ME,38860,0.7,-0.03,-0.03,(D),-0.06,0.27,-0.2,-0.02,0.41,0.14,0.22,0.09,0.04,-0.29,,
Portland-Vancouver-Hillsboro,OR-WA,38900,2.7,0.21,0.08,1.38,0.07,-1.2,(D),(D),0.24,1.72,0.2,0.05,-0.04,-0.02,,
Port St. Lucie,FL,38940,1.2,0.16,0.16,0.24,0.14,-0.54,0.09,-0.93,0.77,0.16,0.41,0.57,0.01,-0.08,,
Prescott,AZ,39140,2.2,-0.41,-0.02,0.62,0.16,0.34,-0.02,-0.11,0.87,0,0.66,0.25,0,-0.19,,
Providence-Warwick,RI-MA,39300,1.3,(D),(D),(D),(D),0.07,-0.02,-0.22,0.41,0.54,0.23,0.11,-0.08,0.02,,
Provo-Orem,UT,39340,6.4,0.17,0.58,0.8,2.16,1.58,-0.06,0.41,-0.48,0.72,0.19,0.07,0.09,0.14,,
Pueblo,CO,39380,0.4,0.11,-0.95,0.51,-0.12,0.08,-0.28,0.09,0.76,-0.2,0.1,-0.03,-0.12,0.47,,
Punta Gorda,FL,39460,4.1,(D),0.65,-0.07,0.01,0.83,(D),-0.27,0.48,1.02,0.72,-0.16,0.12,-0.09,,
Racine,WI,39540,-1.6,0.15,0.11,-0.57,-0.8,-0.03,-0.07,0.02,0.23,-0.05,-0.39,0.02,-0.12,-0.13,,
Raleigh,NC,39580,4.1,0.09,-0.02,2.34,0.29,0.41,-0.32,0.3,0.05,0.65,0.2,0.15,0.01,0,,
Rapid City,SD,39660,1,0.15,-0.13,0.17,0.04,0.41,-0.08,0,0.41,0.07,0.3,0.15,-0.11,-0.39,,
Reading,PA,39740,1.7,0.3,-0.09,0.38,0.29,0.38,0.23,-0.02,0.53,-0.36,0.02,0,-0.03,0.06,,
Redding,CA,39820,0.2,-0.23,-0.01,-0.18,0.03,0.54,-0.72,0.23,0.29,0.66,0.11,-0.05,-0.29,-0.15,,
Reno,NV,39900,1.1,-0.97,(D),0.17,0.32,0.39,0.19,-0.11,0.75,0.05,0.17,0.12,-0.1,-0.06,,
Richmond,VA,40060,2.5,(D),0.04,(D),(D),0.48,(D),(D),1.65,(D),0.31,0.11,(D),-0.06,,
Riverside-San Bernardino-Ontario,CA,40140,2.8,-0.12,0.27,-0.18,0.1,0.82,0.43,0.21,1.02,0.19,0.35,-0.02,-0.12,-0.18,,
Roanoke,VA,40220,1.6,(D),(D),-0.2,(D),(D),(D),0.07,1.11,0.25,0.5,0.05,0,-0.03,,
Rochester,MN,40340,2.2,0.34,0.15,(D),(D),0.25,0.02,-0.01,0.34,0.08,0.94,0.05,0.01,-0.02,,
Rochester,NY,40380,1.1,(D),-0.14,0.04,0.11,-0.17,(D),0.23,0.37,0.54,0,-0.01,-0.02,-0.15,,
Rockford,IL,40420,0.8,0.01,-0.04,(D),(D),(D),(D),-0.01,-0.34,0.04,0.28,-0.03,-0.02,-0.03,,
Rocky Mount,NC,40580,0.2,0.5,-0.29,-0.06,1.94,0.13,0.23,0.29,-0.95,-1.71,0.17,0,-0.05,0.01,,
Rome,GA,40660,1.3,0.02,0.16,0.02,0.37,2.23,-0.08,-0.31,0.35,-0.3,-0.63,-0.15,-0.1,-0.23,,
Sacramento--Roseville--Arden-Arcade,CA,40900,2.7,(D),0.27,-0.13,-0.19,(D),0.23,0.14,1.73,0.14,(D),0.16,0,-0.1,,
Saginaw,MI,40980,2.4,0.77,-0.43,0.72,0.06,0.25,0.48,0.17,0.67,-0.23,0.5,-0.09,-0.06,-0.38,,
St. Cloud,MN,41060,2.5,0.84,-0.31,0.1,-0.84,0.66,-0.15,0.09,0.9,0.51,0.7,0.03,0.02,-0.05,,
St. George,UT,41100,5.9,(D),0.99,0.04,0.11,0.8,0.22,-0.03,2.43,(D),0.64,0.27,0.07,0.14,,
St. Joseph,MO-KS,41140,0,-0.14,-0.3,0.03,0.79,-0.16,0.16,-0.98,0.22,0.33,0.15,0.1,-0.17,-0.04,,
St. Louis,MO-IL,41180,0.1,(D),-0.01,0.34,-0.01,(D),0.02,(D),-0.29,0.33,0.11,0.03,0.02,-0.1,,
Salem,OR,41420,2.8,(D),0.33,0.08,0.04,(D),0.08,-0.06,-0.03,0.32,0.65,0.13,-0.03,0.09,,
Salinas,CA,41500,2,0.95,0.11,-0.02,-0.04,0.16,0.23,0.26,0.63,-0.08,0.05,0.11,-0.03,-0.36,,
Salisbury,MD-DE,41540,2,(D),0.26,(D),(D),0.41,(D),-0.09,-0.23,0.38,0.08,0.07,-0.04,0.04,,
Salt Lake City,UT,41620,2.5,-0.16,-0.2,0.26,0.32,(D),(D),(D),0.73,0.45,0.29,0.09,(D),0.12,,
San Angelo,TX,41660,3.4,(D),-0.01,(D),1.35,0.75,0.12,(D),(D),0.41,(D),0.23,0.14,-0.3,,
San Antonio-New Braunfels,TX,41700,2.8,0.9,0.09,0.07,-0.02,(D),(D),0.08,0.28,0.23,0.23,0.13,-0.04,-0.22,,
San Diego-Carlsbad,CA,41740,1.7,0.06,0.04,0.02,-0.41,0.07,-0.02,0.3,1,0.99,0.05,0.11,-0.06,-0.43,,
San Francisco-Oakland-Hayward,CA,41860,2,-0.4,0.18,(D),(D),0.19,0.22,0.84,0.1,-0.68,0.1,0.16,0.11,-0.06,,
San Jose-Sunnyvale-Santa Clara,CA,41940,4.4,(D),0.08,(D),(D),(D),(D),2.31,-0.17,(D),0.19,0.16,-0.02,-0.04,,
San Luis Obispo-Paso Robles-Arroyo Grande,CA,42020,3.8,0.45,0.06,-0.08,0.85,0.14,0.95,0.62,0.05,0.33,0.13,0.09,0.23,-0.05,,
Santa Cruz-Watsonville,CA,42100,4.5,(D),0.28,-0.01,0.75,0,(D),0.13,1.3,0.58,0.07,0.19,0.15,-0.05,,
Santa Fe,NM,42140,3.2,0.13,0.21,0.06,0.01,-0.13,-0.01,1.17,1.97,-0.21,-0.02,-0.03,0.06,-0.04,,
Santa Maria-Santa Barbara,CA,42060,1.9,-0.11,-0.02,0,0.26,0.14,0.03,0.33,1.83,-0.73,-0.07,0.22,0.21,-0.17,,
Santa Rosa,CA,42220,0.6,0.08,0.39,0.32,0.1,0.41,0.22,0.33,-1.97,0.59,0.11,0.13,-0.04,-0.06,,
Savannah,GA,42340,1.4,(D),0.02,(D),(D),0.88,(D),-0.08,0.12,0.29,0.16,0.13,0.5,-0.59,,
Scranton--Wilkes-Barre--Hazleton,PA,42540,0.1,-0.12,-0.1,(D),(D),0.38,0.34,-0.86,0.18,0.3,-0.31,0.09,-0.08,0.02,,
Seattle-Tacoma-Bellevue,WA,42660,2.4,-0.01,0.15,0.67,0.08,0.65,-0.01,-0.19,0.55,0.27,0.14,0.14,0.11,-0.11,,
Sebastian-Vero Beach,FL,42680,-1.1,-0.22,0.23,0.11,0.05,-0.82,-0.15,-0.09,-0.23,-0.57,0.17,0.35,0.15,-0.07,,
Sebring,FL,42700,-0.2,0.49,0.07,-0.07,-0.05,-0.31,-0.16,0.02,-0.4,-0.11,0.47,0.08,-0.16,-0.09,,
Sheboygan,WI,43100,3.4,0.44,0.15,1.24,0.89,0.14,0.12,0.02,0.22,0.27,0.11,-0.01,-0.1,-0.09,,
Sherman-Denison,TX,43300,4.7,-0.53,1.62,1.26,0.29,0.79,-0.15,0.03,0.27,0.56,0.35,-0.04,0.16,0.05,,
Shreveport-Bossier City,LA,43340,-5.4,(D),-0.23,-0.4,1.37,0.25,-0.39,-0.05,-0.01,-0.03,-0.33,0.08,-0.1,-0.6,,
Sierra Vista-Douglas,AZ,43420,-1.3,(D),-0.42,(D),(D),0.12,-0.1,-0.04,(D),-0.12,-0.6,-0.04,-0.05,-1.47,,
Sioux City,IA-NE-SD,43580,4.6,(D),0.8,0.22,(D),0.4,0.4,-0.04,0.32,-0.16,0.13,(D),0,0.04,,
Sioux Falls,SD,43620,2.5,(D),0.18,0.17,-0.17,0.22,(D),-0.15,1.26,-0.01,0.55,0.05,0.04,-0.04,,
South Bend-Mishawaka,IN-MI,43780,-2.7,0.28,0.02,-1.32,-2.28,-0.17,0.04,0.14,-0.16,0.48,0.43,-0.02,-0.04,-0.14,,
Spartanburg,SC,43900,0.5,0,-0.11,-1.96,0.36,0.79,1.16,0.26,0.14,-0.11,-0.45,0.15,0.05,0.18,,
Spokane-Spokane Valley,WA,44060,1.7,0.12,0.03,(D),(D),-0.15,0.67,0,0.66,0.48,0.19,0.06,-0.19,-0.11,,
Springfield,IL,44100,-0.8,(D),0.15,(D),(D),-0.27,0.09,-0.03,0.16,-0.43,(D),0.04,-0.07,-0.08,,
Springfield,MA,44140,0.6,0.02,-0.28,0.05,-0.12,0.16,-0.01,-0.14,0.77,0.02,0.55,0.05,-0.69,0.24,,
Springfield,MO,44180,0.1,(D),-0.2,(D),(D),0.55,(D),-0.01,-1.37,0.43,0.2,0,0.06,-0.06,,
Springfield,OH,44220,0.1,(D),0.19,-1.48,0.3,-1.01,0.14,-0.06,1.22,0.68,-0.12,0.06,0.13,-0.18,,
State College,PA,44300,2.6,-1.04,-0.04,-0.08,-0.1,0.2,-0.1,0.07,3.02,0.08,0.28,0.11,-0.07,0.3,,
Staunton-Waynesboro,VA,44420,0.3,(D),(D),-0.17,0.18,0.01,0.06,0.07,0.11,-0.02,0.01,-0.03,-0.06,0.09,,
Stockton-Lodi,CA,44700,1.9,1.1,0.27,-0.02,-0.04,0.69,0.31,0,-0.48,0.15,-0.04,0.08,-0.03,-0.1,,
Sumter,SC,44940,-2.5,-0.4,-0.27,-0.5,0.71,-0.08,-0.36,-0.08,-0.03,-0.57,-0.39,0.04,0.05,-0.67,,
Syracuse,NY,45060,-0.5,0.25,-0.13,-0.69,0.07,0.2,0.21,0.14,-0.37,-0.01,0.12,0.01,-0.08,-0.19,,
Tallahassee,FL,45220,1.1,-0.24,0.08,-0.08,-0.04,0.69,(D),0.21,(D),0.08,-0.24,0.07,(D),-0.15,,
Tampa-St. Petersburg-Clearwater,FL,45300,2.3,0.12,0.09,0.1,-0.1,0.44,0.1,0.08,1.19,0.21,0.19,0.1,-0.03,-0.16,,
Terre Haute,IN,45460,-1.8,-0.53,-0.4,(D),(D),0.19,-0.04,0,0.59,0.13,0.41,-0.06,0.06,-0.22,,
Texarkana,TX-AR,45500,-2.7,0.49,-0.54,(D),(D),(D),(D),-0.57,-0.19,-0.22,0.01,-0.01,-0.13,-0.27,,
The Villages,FL,45540,8.8,0.43,2.36,0.39,0.2,(D),(D),0.12,2.57,0.76,1.73,-1.56,0.35,-0.44,,
Toledo,OH,45780,2.3,0.22,-0.63,0.32,2.96,0.03,-0.16,0.03,-0.5,-0.01,0.2,0.01,0,-0.13,,
Topeka,KS,45820,-1,(D),0.13,-0.03,-0.18,-0.6,(D),(D),(D),-0.01,-0.05,0,-0.03,-0.16,,
Trenton,NJ,45940,2.1,0.01,-0.05,-0.23,0.79,0.2,0.03,-0.37,0.33,1.49,0.12,0.06,-0.07,-0.19,,
Tucson,AZ,46060,0.3,-0.03,0.21,0.12,0.03,0.48,-0.31,0.03,0.33,0.07,-0.15,-0.11,-0.01,-0.33,,
Tulsa,OK,46140,3.5,(D),0.46,0.1,0.89,0.2,(D),0.28,-1.48,0.2,0.36,0.01,(D),0.09,,
Tuscaloosa,AL,46220,0.3,-2.03,-0.21,-0.77,2.2,0.04,0.22,0.08,0.71,0.1,0.1,0.05,0.02,-0.17,,
Tyler,TX,46340,1.9,0.84,0.2,-0.57,0.46,0.63,0.2,-0.57,0.45,-0.07,0.41,0,-0.06,0.03,,
Urban Honolulu,HI,26180,2,0.05,0.03,0,0.27,0.21,0.42,0.06,0.68,0.09,0.09,0.37,-0.02,-0.28,,
Utica-Rome,NY,46540,0.7,0.22,-0.15,0.22,0.09,(D),(D),0.04,0.38,-0.03,-0.02,0.02,-0.08,-0.31,,
Valdosta,GA,46660,1,0.57,-0.44,0.01,0.2,(D),(D),(D),0.54,0.56,0.34,-0.03,-0.02,-1.05,,
Vallejo-Fairfield,CA,46700,3.8,0.5,-0.01,0.38,2.26,0.37,-0.2,0.12,0.37,-0.03,0.46,0.14,-0.14,-0.37,,
Victoria,TX,47020,5.8,0.83,0.3,(D),(D),1.74,0.61,-0.04,2.17,-0.2,0.03,0.2,-0.07,0.05,,
Vineland-Bridgeton,NJ,47220,-0.6,0.27,-0.37,-1.31,0.28,0.67,-0.04,-0.14,-0.02,0.31,0.29,-0.08,-0.15,-0.28,,
Virginia Beach-Norfolk-Newport News,VA-NC,47260,0.2,(D),-0.1,0.17,0.06,(D),0.07,0,-0.06,0.33,0.3,0.03,-0.03,-0.59,,
Visalia-Porterville,CA,47300,5.4,3.65,0.04,-0.01,0.61,0.72,0.31,0.35,0.22,-0.35,-0.22,-0.03,0.14,-0.06,,
Waco,TX,47380,1.8,(D),-0.01,(D),(D),0.42,(D),-0.04,-0.52,0.15,0.21,0.06,-0.49,-0.02,,
Walla Walla,WA,47460,1.5,1.73,-0.03,(D),(D),-0.33,0.09,-0.12,0.2,0.23,0.4,-0.08,-0.41,-0.15,,
Warner Robins,GA,47580,-0.8,0.18,-0.03,0.68,(D),(D),(D),-0.11,-0.4,0.17,0.2,0.07,-0.02,-2.05,,
Washington-Arlington-Alexandria,DC-VA-MD-WV,47900,-0.8,(D),-0.11,0,0.02,(D),-0.04,(D),(D),-0.27,0.11,0.06,-0.03,-0.41,,
Waterloo-Cedar Falls,IA,47940,2.9,0.81,-0.24,(D),(D),0.41,(D),0.09,1.33,-0.04,0.16,-0.02,0.07,0.07,,
Watertown-Fort Drum,NY,48060,-2.6,0.38,-0.67,0.07,0.08,0.12,-0.03,0.05,-0.44,0.05,0.11,-0.07,-0.27,-1.98,,
Wausau,WI,48140,2.9,0.75,0.37,-0.24,0.25,0.56,0.08,0,1.08,0.27,-0.01,0,-0.07,-0.12,,
Weirton-Steubenville,WV-OH,44600,-1.4,-0.15,0.23,(D),(D),(D),(D),-0.29,0.26,-0.15,0.1,-0.05,0,-0.09,,
Wenatchee,WA,48300,6.2,2.27,0.57,(D),(D),0.53,-0.05,0.23,1.18,0.33,0.76,0.08,-0.15,-0.03,,
Wheeling,WV-OH,48540,9,8.5,(D),(D),(D),0.47,(D),-0.01,-0.85,0.84,0.1,0.03,0.05,-0.08,,
Wichita,KS,48620,0.7,(D),-0.07,(D),(D),(D),-0.09,(D),-0.27,0.14,-0.06,0.05,(D),-0.13,,
Wichita Falls,TX,48660,5.2,1.88,-0.07,-0.14,2.98,0.01,0.05,(D),0.4,(D),0.48,-0.02,-0.06,-0.29,,
Williamsport,PA,48700,3.7,1.57,-0.97,-0.79,0.26,0.3,-0.15,-0.08,3.49,-0.06,0.04,-0.01,0.07,0.08,,
Wilmington,NC,48900,2.9,0.11,0.28,0.29,-0.39,0.46,0.11,0.15,1.34,0.18,0.15,0.1,0.11,0,,
