City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Bloomsburg-Berwick,PA,14100,2285,2473,2456,2620,2658,2826,3019,3236,3196,3342,3401,3462,3586,-1.3,4.6,1.8,1.8,3.6,67
Boise City,ID,14260,18044,18696,19520,20785,22476,24389,25702,26086,24773,25332,25345,25660,26869,-5,2.3,0.1,1.2,4.7,34
Boston-Cambridge-Newton,MA-NH,14460,244361,247404,256416,270331,282843,295692,313163,321975,315377,328307,335814,344090,349652,-2,4.1,2.3,2.5,1.6,178
Boulder,CO,14500,15812,14383,14650,15360,16120,16723,17834,18618,17964,18563,18997,19677,20311,-3.5,3.3,2.3,3.6,3.2,83
Bowling Green,KY,14540,3517,3681,3915,4204,4591,4946,5075,5372,4946,5230,5240,5320,5489,-7.9,5.7,0.2,1.5,3.2,89
Bremerton-Silverdale,WA,14740,6301,7000,7363,7614,8043,8628,8809,9122,8967,8981,8969,8891,8825,-1.7,0.2,-0.1,-0.9,-0.7,324
Bridgeport-Stamford-Norwalk,CT,14860,64566,65263,67278,73045,77061,81706,86159,86059,80535,83417,85535,87148,87791,-6.4,3.6,2.5,1.9,0.7,236
Brownsville-Harlingen,TX,15180,5200,5459,5714,5964,6273,6731,7123,7611,7590,7780,7768,7966,8015,-0.3,2.5,-0.2,2.6,0.6,250
Brunswick,GA,15260,2430,2535,2735,2937,3079,3310,3355,3481,3400,3250,3207,3235,3195,-2.3,-4.4,-1.3,0.9,-1.2,345
Buffalo-Cheektowaga-Niagara Falls,NY,15380,35564,37641,38865,40714,41729,43357,43951,46073,46539,47124,47722,48076,48257,1,1.3,1.3,0.7,0.4,263
Burlington,NC,15500,3755,3924,3810,4021,4187,4460,4467,4598,4286,4414,4476,4571,4874,-6.8,3,1.4,2.1,6.6,16
Burlington-South Burlington,VT,15540,7903,8181,8726,9216,9557,9931,10039,10542,10470,11133,11496,11765,12018,-0.7,6.3,3.3,2.3,2.2,145
