City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Johnson City,TN,27740,4063,4305,4605,4980,5201,5390,5457,5855,5823,5557,5703,5801,5678,-0.5,-4.6,2.6,1.7,-2.1,362
Johnstown,PA,27780,3250,3186,3321,3457,3663,3804,3980,4125,4080,4059,4079,4045,3965,-1.1,-0.5,0.5,-0.8,-2,359
Jonesboro,AR,27860,2899,2961,3230,3483,3694,3857,3826,4226,4147,4404,4363,4514,4543,-1.9,6.2,-1,3.5,0.6,246
Joplin,MO,27900,4287,4283,4625,4900,5104,5379,5519,5809,5771,6026,6011,6041,6054,-0.7,4.4,-0.2,0.5,0.2,276
Kahului-Wailuku-Lahaina,HI,27980,4514,4653,5055,5589,6139,6655,7004,7155,6744,6661,6853,7018,6976,-5.7,-1.2,2.9,2.4,-0.6,321
Kalamazoo-Portage,MI,28020,9912,10862,11355,11475,11449,11852,12362,12845,12487,12634,12717,12699,13005,-2.8,1.2,0.7,-0.1,2.4,126
Kankakee,IL,28100,2472,2601,2667,2820,2869,3032,3093,3193,3192,3188,3165,3285,3360,0,-0.1,-0.7,3.8,2.3,138
Kansas City,MO-KS,28140,79597,82298,84907,89272,93267,96813,101104,105827,103233,106566,106967,108800,110278,-2.5,3.2,0.4,1.7,1.4,193
Kennewick-Richland,WA,28420,6185,6744,7213,7528,7933,8105,8991,9558,10297,10914,10757,10170,10314,7.7,6,-1.4,-5.5,1.4,191
Killeen-Temple,TX,28660,8010,8455,9200,9824,11042,12351,13459,14704,15163,14936,14969,14896,14834,3.1,-1.5,0.2,-0.5,-0.4,314
Kingsport-Bristol-Bristol,TN-VA,28700,7820,7675,7808,8613,8602,9319,9527,10014,9694,10035,10393,10406,10279,-3.2,3.5,3.6,0.1,-1.2,346
Kingston,NY,28740,3523,3682,3924,4134,4345,4694,4801,4970,4937,5012,4884,4858,4888,-0.7,1.5,-2.5,-0.5,0.6,248
Knoxville,TN,28940,23121,24629,26171,28029,29325,30205,30710,32873,32049,32319,33535,34134,34346,-2.5,0.8,3.8,1.8,0.6,249
Kokomo,IN,29020,3617,3953,4443,4209,4051,4179,4478,3821,2573,3788,3930,4018,4149,-32.7,47.2,3.7,2.2,3.3,82
La Crosse-Onalaska,WI-MN,29100,4025,4259,4535,4686,4911,5087,5267,5711,5692,5831,5871,5952,6090,-0.3,2.4,0.7,1.4,2.3,135
Lafayette,LA,29140,14894,13941,14708,15571,17235,20490,22102,21999,23696,24401,25449,26665,25386,7.7,3,4.3,4.8,-4.8,379
Lafayette-West Lafayette,IN,29180,5878,6211,6447,6904,7253,7445,7831,8378,7741,8349,8530,8665,8547,-7.6,7.9,2.2,1.6,-1.4,351
Lake Charles,LA,29340,7012,7317,9373,11086,16345,15334,13451,12209,11422,12432,10999,11012,11884,-6.4,8.8,-11.5,0.1,7.9,8
Lake Havasu City-Kingman,AZ,29420,2415,2613,2862,3088,3473,3965,4121,3958,3578,3563,3552,3544,3520,-9.6,-0.4,-0.3,-0.2,-0.7,322
Lakeland-Winter Haven,FL,29460,11536,12243,12988,14221,15448,16689,17287,17924,17107,17114,16855,16895,17454,-4.6,0,-1.5,0.2,3.3,80
Lancaster,PA,29540,15521,15993,16535,17401,18306,18981,19434,20014,19565,20554,21027,21209,21587,-2.2,5.1,2.3,0.9,1.8,170
Lansing-East Lansing,MI,29620,15829,16764,17391,17426,18073,18661,19015,19023,17842,19133,18847,18727,19168,-6.2,7.2,-1.5,-0.6,2.4,130
Laredo,TX,29700,3857,4093,4389,4631,5134,5511,5719,6114,5770,5927,6239,6628,6847,-5.6,2.7,5.3,6.2,3.3,81
Las Cruces,NM,29740,3398,3785,4137,4553,4865,5079,5410,5745,5929,6043,5959,5859,5908,3.2,1.9,-1.4,-1.7,0.8,230
Las Vegas-Henderson-Paradise,NV,29820,56773,60455,64680,74388,84636,90969,95768,95557,86547,84682,83923,85278,87359,-9.4,-2.2,-0.9,1.6,2.4,123
Lawrence,KS,29940,2697,2798,2873,2971,3085,3168,3389,3578,3611,3533,3574,3605,3622,0.9,-2.1,1.1,0.9,0.4,259
Lawton,OK,30020,2788,2912,3177,3368,3484,3845,4062,4314,4482,4680,4621,4458,4534,3.9,4.4,-1.2,-3.5,1.7,175
Lebanon,PA,30140,2691,2751,2932,3134,3259,3430,3613,3884,3868,4036,4031,4069,4013,-0.4,4.3,-0.1,0.9,-1.4,350
Lewiston,ID-WA,30300,1476,1506,1592,1658,1725,1808,1890,1967,1918,1943,1901,1883,1913,-2.5,1.4,-2.2,-0.9,1.6,180
Lewiston-Auburn,ME,30340,2736,3017,3156,3334,3379,3553,3722,3859,3763,3740,3729,3778,3782,-2.5,-0.6,-0.3,1.3,0.1,284
Lexington-Fayette,KY,30460,17464,18640,19174,20029,20920,22109,22689,23585,22202,23644,23959,24266,24851,-5.9,6.5,1.3,1.3,2.4,127
Lima,OH,30620,3850,3915,4009,4220,4447,4568,4585,4324,4781,4769,4772,4790,5166,10.6,-0.2,0.1,0.4,7.9,9
Lincoln,NE,30700,10271,10630,11568,12065,12510,13207,13608,13916,13947,14373,14602,15089,15482,0.2,3.1,1.6,3.3,2.6,112
Little Rock-North Little Rock-Conway,AR,30780,22339,23494,24574,26396,29680,32004,35761,37007,37636,37618,38398,38354,38625,1.7,0,2.1,-0.1,0.7,239
Logan,UT-ID,30860,2035,2146,2431,2641,2748,2908,3168,3435,3420,3644,3856,3902,4090,-0.4,6.6,5.8,1.2,4.8,33
Longview,TX,30980,5461,5534,5952,6561,7388,8401,9074,9762,9308,9932,10448,11349,11340,-4.6,6.7,5.2,8.6,-0.1,297
Longview,WA,31020,2389,2352,2493,2586,2772,2954,3113,3199,3068,3136,3090,3200,3279,-4.1,2.2,-1.5,3.6,2.5,120
Los Angeles-Long Beach-Anaheim,CA,31100,545658,568879,599897,644679,682436,727543,759396,786211,748002,747663,752826,766654,775967,-4.9,0,0.7,1.8,1.2,204
Louisville/Jefferson County,KY-IN,31140,43985,45223,46430,49329,51658,54457,56362,58104,55187,57819,58886,60725,60649,-5,4.8,1.8,3.1,-0.1,300
Lubbock,TX,31180,6693,7128,7542,8088,8527,9029,9308,9789,9770,10152,9889,10459,10992,-0.2,3.9,-2.6,5.8,5.1,31
Lynchburg,VA,31340,6386,6306,6553,6912,7328,7806,7995,8422,8259,8540,8381,8347,8313,-1.9,3.4,-1.9,-0.4,-0.4,313
Macon,GA,31420,7182,7319,7275,7543,7681,7759,7658,8049,7786,7790,7858,7801,8002,-3.3,0.1,0.9,-0.7,2.6,113
Madera,CA,31460,2186,2442,2674,3175,3349,3498,3728,3674,3466,3695,3846,3972,4291,-5.7,6.6,4.1,3.3,8,7
Madison,WI,31540,24608,26103,27436,29599,31574,32945,34776,35649,35910,37254,38218,38891,40186,0.7,3.7,2.6,1.8,3.3,78
Manchester-Nashua,NH,31700,15524,16499,18009,18845,20062,20575,21146,21868,21522,21341,22317,22284,22456,-1.6,-0.8,4.6,-0.1,0.8,234
Manhattan,KS,31740,1818,1887,2032,2131,2231,2339,2559,2832,2771,2799,2867,2883,2840,-2.2,1,2.4,0.6,-1.5,354
Mankato-North Mankato,MN,31860,2686,2799,2967,3227,3441,3625,3671,3846,3645,3843,3985,4118,4151,-5.2,5.4,3.7,3.3,0.8,233
Mansfield,OH,31900,3607,3778,3887,4112,4179,4238,4076,4064,3488,3587,3657,3686,3695,-14.2,2.8,2,0.8,0.3,272
McAllen-Edinburg-Mission,TX,32580,8287,8737,9484,10332,11230,12240,12928,13748,13924,14401,14704,15324,15777,1.3,3.4,2.1,4.2,3,95
Medford,OR,32780,4771,4995,5323,5779,6100,6457,6544,6378,6092,5972,5903,6135,6368,-4.5,-2,-1.2,3.9,3.8,61
Memphis,TN-MS-AR,32820,49301,52133,53981,56791,59175,61706,63509,64390,61682,61731,61885,63160,63081,-4.2,0.1,0.2,2.1,-0.1,299
Merced,CA,32900,3935,4373,4920,5576,5650,5830,6571,6160,6034,6004,6046,6217,6498,-2,-0.5,0.7,2.8,4.5,42
Miami-Fort Lauderdale-West Palm Beach,FL,33100,185869,196135,205329,221256,244020,259833,268330,269478,247947,247743,249165,256900,263115,-8,-0.1,0.6,3.1,2.4,125
Michigan City-La Porte,IN,33140,2841,2884,2948,3165,3278,3359,3545,3607,3355,3507,3510,3489,3571,-7,4.5,0.1,-0.6,2.4,131
Midland,MI,33220,2916,3135,3081,3419,3204,3261,3460,3631,3574,3696,3723,3605,3604,-1.6,3.4,0.7,-3.2,0,294
Midland,TX,33260,5744,5114,5777,6557,8034,9357,11418,10693,13252,13194,15657,19013,20255,23.9,-0.4,18.7,21.4,6.5,18
Milwaukee-Waukesha-West Allis,WI,33340,65614,67177,69957,73381,77524,81662,83984,87675,85405,86813,88475,88572,89052,-2.6,1.6,1.9,0.1,0.5,254
Minneapolis-St. Paul-Bloomington,MN-WI,33460,148939,153960,162418,172403,182596,187099,193958,200417,192686,198548,205117,208340,213466,-3.9,3,3.3,1.6,2.5,121
Missoula,MT,33540,3108,3343,3525,3667,3905,4138,4274,4423,4416,4400,4378,4484,4323,-0.2,-0.4,-0.5,2.4,-3.6,377
Mobile,AL,33660,11002,11164,11735,12667,13651,14953,15621,16022,16321,16443,16519,16602,17085,1.9,0.7,0.5,0.5,2.9,98
Modesto,CA,33700,10933,11965,12859,13995,14811,15309,15508,15483,15374,15606,15711,15781,16284,-0.7,1.5,0.7,0.4,3.2,90
Monroe,LA,33740,4754,4808,4973,5312,5594,5977,6104,6146,6185,6391,6189,6329,6439,0.6,3.3,-3.2,2.3,1.7,172
Monroe,MI,33780,3440,3762,3989,4040,4047,4141,4075,4069,3684,3926,3957,4042,4264,-9.5,6.6,0.8,2.2,5.5,27
Montgomery,AL,33860,11188,11862,12499,13406,14152,14877,15053,15575,15109,15289,15398,15449,15489,-3,1.2,0.7,0.3,0.3,273
Morgantown,WV,34060,3213,3484,3699,3951,4282,4665,4855,5572,5953,6340,6171,6316,6589,6.8,6.5,-2.7,2.3,4.3,46
Morristown,TN,34100,2744,2759,2924,3116,3091,3183,3231,3329,3074,3309,3337,3457,3451,-7.7,7.6,0.8,3.6,-0.2,305
Mount Vernon-Anacortes,WA,34580,3291,3992,4042,3914,5663,4980,5160,4794,4928,4912,4123,4026,4453,2.8,-0.3,-16.1,-2.3,10.6,1
Muncie,IN,34620,3211,3232,3352,3295,3282,3388,3371,3469,3252,3324,3328,3453,3481,-6.2,2.2,0.1,3.7,0.8,232
Muskegon,MI,34740,4165,4201,4352,4537,4684,4808,4770,4665,4487,4704,4812,4887,5010,-3.8,4.8,2.3,1.5,2.5,117
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,34820,9325,9809,10393,11052,12024,12716,13466,13863,13292,13446,13842,14005,14221,-4.1,1.2,2.9,1.2,1.5,185
Napa,CA,34900,5248,5637,5900,6216,6680,6952,7184,7588,7341,7034,7069,7217,7546,-3.3,-4.2,0.5,2.1,4.5,39
Naples-Immokalee-Marco Island,FL,34940,9932,10038,11053,12429,14195,14843,14902,13626,12078,12241,12256,12459,13326,-11.4,1.4,0.1,1.7,7,13
Nashville-Davidson--Murfreesboro--Franklin,TN,34980,58227,61028,64506,69172,72162,76622,78257,84241,81602,84572,88170,93360,95124,-3.1,3.6,4.3,5.9,1.9,164
New Bern,NC,35100,3124,3135,3345,3621,3891,4054,4281,4495,4661,4589,4484,4649,4639,3.7,-1.5,-2.3,3.7,-0.2,308
New Haven-Milford,CT,35300,30730,32531,33822,36939,38115,40134,41553,43202,40921,40899,40397,40830,41461,-5.3,-0.1,-1.2,1.1,1.5,184
New Orleans-Metairie,LA,35380,52386,52608,58597,64112,72910,71178,70931,67080,69445,73312,68940,69997,70665,3.5,5.6,-6,1.5,1,222
New York-Newark-Jersey City,NY-NJ-PA,35620,974156,996145,1020032,1080439,1155301,1220668,1278230,1296414,1291817,1322885,1336038,1364872,1377989,-0.4,2.4,1,2.2,1,220
Niles-Benton Harbor,MI,35660,4616,4830,4857,4970,5070,5401,5702,5826,5586,5932,5707,5574,5827,-4.1,6.2,-3.8,-2.3,4.5,40
North Port-Sarasota-Bradenton,FL,35840,17112,18344,19523,21525,24167,25737,26053,25113,23531,23157,23149,23321,24358,-6.3,-1.6,0,0.7,4.4,44
Norwich-New London,CT,35980,10207,11310,12297,13858,14670,16188,16794,17982,16115,15816,14725,14449,14409,-10.4,-1.9,-6.9,-1.9,-0.3,310
Ocala,FL,36100,4818,5053,5565,6185,6921,7723,7886,7756,6946,6882,6797,6803,6960,-10.5,-0.9,-1.2,0.1,2.3,134
Ocean City,NJ,36140,2924,3209,3509,3767,4048,3952,3990,4263,4268,4238,4295,4279,4307,0.1,-0.7,1.4,-0.4,0.7,243
Odessa,TX,36220,3111,3115,3274,3485,4062,4811,5772,5908,5521,5813,6902,8083,8494,-6.5,5.3,18.7,17.1,5.1,32
Ogden-Clearfield,UT,36260,12766,13623,14399,15569,16654,18567,19613,19217,19439,20214,20511,21315,22276,1.2,4,1.5,3.9,4.5,43
Oklahoma City,OK,36420,37653,38675,41748,45339,49445,54867,58083,58108,57578,57856,60281,62780,65246,-0.9,0.5,4.2,4.1,3.9,56
Olympia-Tumwater,WA,36500,6067,6315,6623,7016,7572,8175,8806,9284,9104,9050,8898,8900,9146,-1.9,-0.6,-1.7,0,2.8,105
Omaha-Council Bluffs,NE-IA,36540,32213,33996,36043,38432,40359,42990,44787,46638,46485,47326,48338,50211,51122,-0.3,1.8,2.1,3.9,1.8,167
Orlando-Kissimmee-Sanford,FL,36740,66978,71280,76547,83975,93749,100897,106012,105591,99901,100610,99751,102050,103992,-5.4,0.7,-0.9,2.3,1.9,162
Oshkosh-Neenah,WI,36780,6043,6605,6604,6930,7167,7437,7673,7933,7534,8271,8539,8650,8656,-5,9.8,3.2,1.3,0.1,291
Owensboro,KY,36980,3163,3369,3543,3631,3770,4178,4108,4310,4353,4472,4551,4619,4834,1,2.7,1.8,1.5,4.7,35
Oxnard-Thousand Oaks-Ventura,CA,37100,26048,26792,29582,32458,34669,36744,38625,36743,37157,38993,40501,41370,41737,1.1,4.9,3.9,2.1,0.9,227
Palm Bay-Melbourne-Titusville,FL,37340,12446,13211,14259,16122,17363,18082,18993,19085,18347,18333,17464,17373,17398,-3.9,-0.1,-4.7,-0.5,0.1,281
Panama City,FL,37460,4387,4722,5167,5622,6311,6714,6940,7136,6950,7054,6833,6774,6974,-2.6,1.5,-3.1,-0.9,3,96
Parkersburg-Vienna,WV,37620,2696,2679,2710,2839,2889,3129,3082,3288,3369,3218,3191,3247,3217,2.5,-4.5,-0.8,1.8,-0.9,336
Pensacola-Ferry Pass-Brent,FL,37860,10203,10405,11011,12168,12818,13870,14219,14145,13716,14008,14125,14193,14208,-3,2.1,0.8,0.5,0.1,283
Peoria,IL,37900,11680,11878,12532,13859,15109,16533,17462,18673,17707,17944,19778,20629,19220,-5.2,1.3,10.2,4.3,-6.8,381
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,37980,251372,260955,274688,289502,304050,319557,334334,349836,346536,350533,352976,356698,358091,-0.9,1.2,0.7,1.1,0.4,262
Phoenix-Mesa-Scottsdale,AZ,38060,129086,135359,144853,153751,170678,186728,196291,197379,179998,181660,188001,194731,197079,-8.8,0.9,3.5,3.6,1.2,205
Pine Bluff,AR,38220,2463,2501,2614,2800,2874,3041,3012,3161,3049,3125,3060,3107,3005,-3.6,2.5,-2.1,1.5,-3.3,375
Pittsburgh,PA,38300,88750,91045,94576,99066,102812,107430,111611,114589,110886,114802,117953,120719,122891,-3.2,3.5,2.7,2.3,1.8,168
Pittsfield,MA,38340,4387,4761,5013,5250,5412,5404,5239,5440,5397,5183,5402,5372,5319,-0.8,-4,4.2,-0.5,-1,337
Pocatello,ID,38540,1755,1787,1938,2115,2259,2321,2435,2561,2367,2371,2345,2292,2289,-7.6,0.2,-1.1,-2.3,-0.1,302
Portland-South Portland,ME,38860,6924,7498,8118,9469,10913,11773,12335,25560,25138,25673,25556,25726,25897,-1.7,2.1,-0.5,0.7,0.7,244
Portland-Vancouver-Hillsboro,OR-WA,38900,18600,19443,20602,22137,22777,23787,24414,129674,131066,140717,148139,155059,159266,1.1,7.4,5.3,4.7,2.7,106
Port St. Lucie,FL,38940,81172,82768,86400,97063,101014,113271,120298,11778,11066,11048,10923,10919,11046,-6,-0.2,-1.1,0,1.2,209
Prescott,AZ,39140,2892,3051,3327,3606,4178,4821,5101,5022,4546,4358,4274,4395,4490,-9.5,-4.1,-1.9,2.8,2.2,144
Providence-Warwick,RI-MA,39300,49920,52523,55714,59249,61292,64721,64789,66379,65377,66800,67134,68096,68975,-1.5,2.2,0.5,1.4,1.3,199
Provo-Orem,UT,39340,8683,9249,10036,10960,12050,13639,15371,15402,15057,15203,15681,16845,17918,-2.2,1,3.1,7.4,6.4,19
Pueblo,CO,39380,3225,3250,3322,3624,3536,3683,3902,4080,4124,4102,4199,4311,4328,1.1,-0.5,2.4,2.7,0.4,260
Punta Gorda,FL,39460,2515,2546,2752,3121,3433,3814,3675,3449,3148,3093,3078,3124,3250,-8.7,-1.8,-0.5,1.5,4.1,52
Racine,WI,39540,5839,5980,6169,6464,6466,6790,6824,6842,6553,7119,6979,7103,6988,-4.2,8.6,-2,1.8,-1.6,356
Raleigh,NC,39580,36507,37556,38915,41459,45579,49495,53944,56948,56230,58938,59036,60260,62758,-1.3,4.8,0.2,2.1,4.1,49
Rapid City,SD,39660,3455,4089,4126,4326,4494,4715,4985,5113,5119,5347,5517,5556,5610,0.1,4.4,3.2,0.7,1,215
Reading,PA,39740,11327,11724,12143,12677,13357,14709,14964,15021,14682,14799,14860,14986,15238,-2.3,0.8,0.4,0.8,1.7,176
Redding,CA,39820,3949,4461,4774,5045,5337,5491,5499,5330,4974,4963,5007,4963,4973,-6.7,-0.2,0.9,-0.9,0.2,278
Reno,NV,39900,14566,15284,16116,18072,19737,20766,22447,21758,19223,18978,18899,18816,19021,-11.7,-1.3,-0.4,-0.4,1.1,212
Richmond,VA,40060,46680,47027,47909,50672,54682,56462,58924,61611,60242,61692,61659,62571,64155,-2.2,2.4,-0.1,1.5,2.5,116
Riverside-San Bernardino-Ontario,CA,40140,79025,83669,90883,100209,110022,117393,118365,118661,110275,112505,114901,115500,118693,-7.1,2,2.1,0.5,2.8,104
Roanoke,VA,40220,9897,10084,10419,10974,11574,12232,12717,13328,12986,12842,12738,12840,13051,-2.6,-1.1,-0.8,0.8,1.6,177
Rochester,MN,40340,6731,7351,8115,8525,8613,8820,8957,9196,9076,9692,9458,9755,9974,-1.3,6.8,-2.4,3.1,2.2,141
Rochester,NY,40380,38095,39583,41050,42996,44669,46308,46015,47871,47828,48407,48023,48427,48966,-0.1,1.2,-0.8,0.8,1.1,211
Rockford,IL,40420,10302,10567,10795,11198,11710,12490,12882,12950,12056,12526,12945,12993,13103,-6.9,3.9,3.3,0.4,0.8,229
Rocky Mount,NC,40580,4695,4913,5083,5237,5420,5804,5779,6301,6422,6302,5936,6056,6068,1.9,-1.9,-5.8,2,0.2,277
Rome,GA,40660,2722,2780,2868,3105,3000,3095,3125,3315,3206,3218,3149,3159,3202,-3.3,0.4,-2.1,0.3,1.3,196
Sacramento--Roseville--Arden-Arcade,CA,40900,66851,72888,79950,85448,93048,97577,99136,99143,94714,94606,96294,98748,101402,-4.5,-0.1,1.8,2.5,2.7,107
Saginaw,MI,40980,6815,6887,7114,7085,7215,7345,7129,6805,6530,6932,7029,6973,7143,-4,6.2,1.4,-0.8,2.4,124
St. Cloud,MN,41060,8920,9495,10050,10672,11019,11885,12220,7545,7352,7512,7602,7745,7939,-2.6,2.2,1.2,1.9,2.5,119
St. George,UT,41100,13839,14783,15754,15942,17040,18075,17966,3831,3551,3462,3607,3737,3958,-7.3,-2.5,4.2,3.6,5.9,24
St. Joseph,MO-KS,41140,8858,9023,9810,10956,11999,12942,13915,4572,4667,4843,4788,4866,4866,2.1,3.8,-1.1,1.6,0,293
St. Louis,MO-IL,41180,42501,43734,44594,47776,52270,58559,64402,136285,132645,133568,134034,136439,136519,-2.7,0.7,0.3,1.8,0.1,290
Salem,OR,41420,2730,2791,2978,3165,3302,3400,3515,13066,12700,12281,11939,12113,12449,-2.8,-3.3,-2.8,1.5,2.8,103
Salinas,CA,41500,52886,54108,57567,61158,65571,71140,75481,17545,17770,17559,17299,17544,17886,1.3,-1.2,-1.5,1.4,2,158
Salisbury,MD-DE,41540,122018,131368,139787,150347,160401,167881,174602,13868,13341,13265,12789,12813,13071,-3.8,-0.6,-3.6,0.2,2,153
Salt Lake City,UT,41620,247334,248365,258103,271808,296263,314824,333580,63288,62167,63090,65019,68967,70719,-1.8,1.5,3.1,6.1,2.5,115
San Angelo,TX,41660,126703,118273,121718,128007,136787,146131,157098,3677,3615,3718,3900,4038,4176,-1.7,2.9,4.9,3.5,3.4,70
San Antonio-New Braunfels,TX,41700,7184,8131,8846,9620,10401,10756,10988,78269,76837,80101,83787,87024,89463,-1.8,4.2,4.6,3.9,2.8,102
San Diego-Carlsbad,CA,41740,9109,9095,9217,9404,9698,10050,10035,179721,173564,173575,178520,182949,186108,-3.4,0,2.8,2.5,1.7,173
San Francisco-Oakland-Hayward,CA,41860,4939,5708,5543,5730,6161,6671,6937,339613,327531,326333,328236,349088,356081,-3.6,-0.4,0.6,6.4,2,154
San Jose-Sunnyvale-Santa Clara,CA,41940,14402,15113,16100,17110,18682,19193,19677,159719,150478,165435,178316,184112,192184,-5.8,9.9,7.8,3.3,4.4,45
San Luis Obispo-Paso Robles-Arroyo Grande,CA,42020,16700,17485,17921,18561,19833,20298,20280,10980,10538,10889,10963,11063,11482,-4,3.3,0.7,0.9,3.8,63
Santa Cruz-Watsonville,CA,42100,9241,9453,9859,10717,11631,12710,13184,9766,9371,9282,9285,9517,9948,-4,-0.9,0,2.5,4.5,41
Santa Fe,NM,42140,15648,15722,16356,17392,18077,18791,19520,7152,6593,6437,6460,6415,6618,-7.8,-2.4,0.4,-0.7,3.2,91
Santa Maria-Santa Barbara,CA,42060,166438,170918,176405,183757,199989,214739,235403,19918,19792,19836,20651,21396,21812,-0.6,0.2,4.1,3.6,1.9,159
Santa Rosa,CA,42220,2754,2917,3286,3840,4133,4354,4647,20870,19545,20057,20758,20499,20621,-6.3,2.6,3.5,-1.3,0.6,251
Savannah,GA,42340,1274,1383,1504,1665,1762,1945,1962,13450,13148,13291,13312,13574,13769,-2.2,1.1,0.2,2,1.4,190
Scranton--Wilkes-Barre--Hazleton,PA,42540,4122,4302,4481,4801,4939,5160,5311,19820,19385,20000,20016,20029,20041,-2.2,3.2,0.1,0.1,0.1,289
Seattle-Tacoma-Bellevue,WA,42660,2491,2558,2676,2872,2992,3204,3234,247399,240074,246268,251355,263242,269679,-3,2.6,2.1,4.7,2.4,122
Sebastian-Vero Beach,FL,42680,13395,13469,15030,16748,18653,20415,20104,4554,4192,3979,3897,4010,3966,-7.9,-5.1,-2.1,2.9,-1.1,341
Sebring,FL,42700,2531,2593,2786,3006,3328,3538,3804,1829,1791,1795,1738,1749,1745,-2.1,0.2,-3.2,0.6,-0.2,307
Sheboygan,WI,43100,5535,5864,5853,6192,6283,6563,6902,5777,5505,5400,5401,5510,5698,-4.7,-1.9,0,2,3.4,71
Sherman-Denison,TX,43300,9091,10642,11256,11863,12657,13054,13734,3329,3270,3372,3450,3507,3670,-1.8,3.1,2.3,1.6,4.7,36
Shreveport-Bossier City,LA,43340,9288,9805,10466,11154,11306,11728,12114,19792,19845,21193,22010,22070,20887,0.3,6.8,3.9,0.3,-5.4,380
Sierra Vista-Douglas,AZ,43420,8781,9203,9548,9642,9996,10612,11029,3946,4060,4158,4127,3967,3916,2.9,2.4,-0.7,-3.9,-1.3,348
Sioux City,IA-NE-SD,43580,13669,13939,14585,15391,16637,17858,18910,7464,7492,7755,7585,7604,7950,0.4,3.5,-2.2,0.2,4.6,38
Sioux Falls,SD,43620,7550,7601,7590,7761,7946,8204,8466,14135,14426,14653,15288,15654,16046,2.1,1.6,4.3,2.4,2.5,118
South Bend-Mishawaka,IN-MI,43780,16944,17355,18092,18890,19643,20346,21140,12720,11807,12317,12596,12758,12407,-7.2,4.3,2.3,1.3,-2.7,369
Spartanburg,SC,43900,10844,10944,11841,12653,13601,14156,14554,11719,10645,11322,11955,12136,12193,-9.2,6.4,5.6,1.5,0.5,258
Spokane-Spokane Valley,WA,44060,3475,3409,3358,3520,3580,3740,3674,19710,19206,19243,19406,19688,20033,-2.6,0.2,0.8,1.5,1.7,171
Springfield,IL,44100,5576,5870,6181,6775,7022,7219,7279,8642,8824,8789,8801,8785,8714,2.1,-0.4,0.1,-0.2,-0.8,329
Springfield,MA,44140,1965,2122,2364,2644,3086,3596,3845,22388,21840,22065,22145,22749,22895,-2.4,1,0.4,2.7,0.6,245
Springfield,MO,44180,3151,3243,3368,3614,3688,4014,4321,15215,15109,15451,15452,15692,15702,-0.7,2.3,0,1.5,0.1,288
Springfield,OH,44220,103023,107108,111673,116462,121504,124636,128399,3771,3530,3550,3679,3763,3768,-6.4,0.6,3.6,2.3,0.1,282
State College,PA,44300,4237,4443,4615,4972,5343,5635,5957,6278,6351,6480,6629,6703,6880,1.2,2,2.3,1.1,2.6,111
Staunton-Waynesboro,VA,44420,3469,3387,3534,3744,4039,4094,4022,4322,4220,4415,4342,4376,4391,-2.4,4.6,-1.7,0.8,0.3,269
Stockton-Lodi,CA,44700,13962,15221,16535,17767,18835,19676,20496,20444,19997,19977,20176,20223,20603,-2.2,-0.1,1,0.2,1.9,165
Sumter,SC,44940,2326,2435,2554,2696,2825,2954,3024,3069,2976,2983,3101,3342,3257,-3,0.2,4,7.8,-2.5,364
Syracuse,NY,45060,21225,21932,22606,23869,24907,25850,26803,27858,27644,28426,28146,28505,28370,-0.8,2.8,-1,1.3,-0.5,316
Tallahassee,FL,45220,10025,10410,10851,11487,11976,12574,13487,13793,13293,13191,12860,12748,12893,-3.6,-0.8,-2.5,-0.9,1.1,210
Tampa-St. Petersburg-Clearwater,FL,45300,78835,84114,89663,96800,104651,111541,115243,114648,109837,108949,109171,112618,115263,-4.2,-0.8,0.2,3.2,2.3,132
Terre Haute,IN,45460,4292,4489,4841,5124,5166,5435,5889,6250,5822,6205,6096,6137,6025,-6.8,6.6,-1.8,0.7,-1.8,357
Texarkana,TX-AR,45500,3358,3505,3721,4031,4246,4511,4681,4913,4811,4901,4863,4896,4765,-2.1,1.9,-0.8,0.7,-2.7,367
The Villages,FL,45540,694,701,855,965,1202,1384,1523,1544,1602,1764,1840,1844,2006,3.8,10.1,4.3,0.2,8.8,5
Toledo,OH,45780,22220,22984,23721,24594,25471,26303,26472,26052,25821,26094,26995,27611,28252,-0.9,1.1,3.5,2.3,2.3,133
Topeka,KS,45820,7237,7358,7470,7738,7932,8088,8565,9147,9062,8962,9182,9143,9050,-0.9,-1.1,2.5,-0.4,-1,339
Trenton,NJ,45940,17331,18020,19796,20880,22179,23756,24306,25410,24802,25752,25792,26993,27558,-2.4,3.8,0.2,4.7,2.1,150
Tucson,AZ,46060,23084,23412,25320,26475,28970,31260,33708,34792,32401,32586,32419,33247,33355,-6.9,0.6,-0.5,2.6,0.3,270
Tulsa,OK,46140,31330,31688,32837,35325,39976,44075,46563,48103,46117,45404,47244,47940,49616,-4.1,-1.5,4.1,1.5,3.5,68
Tuscaloosa,AL,46220,5420,5677,6250,6912,7639,7942,8557,8713,8710,9062,9274,9404,9437,0,4,2.3,1.4,0.3,267
Tyler,TX,46340,5655,5715,6126,6788,7376,7855,8234,8168,8454,8666,9069,9635,9822,3.5,2.5,4.7,6.2,1.9,160
